"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GANCARZ Paweł Jarosław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SZWED Aleksander Jakub - KW PRAWO I SPRAWIEDLIWOŚĆ";"POKRYWKA Jan Tadeusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GRZYB Sebastian Mariusz - KW POLSKA 2050";"DYSZEWSKI Andrzej - KWW POROZUMIENIE OBYWATELSKIE"
7;"Szkoła Podstawowa Nr 2, ul. Piastowska 1, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;281;171;50;7;41
8;"Szkoła Podstawowa nr 2, ul. Piastowska 1, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;283;208;21;7;49
9;"Zespół Szkół Zawodowych, ul. Wrocławska 17, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;239;135;14;7;72
10;"Szkoła Podstawowa nr 3, ul. Władysława Orkana 32, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;293;224;33;14;100
11;"Szkoła Podstawowa nr 3, ul. Władysława Orkana 32, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;291;183;32;11;105
12;"Szkoła Podstawowa Nr 3 (budynek byłego Publicznego Gimnazjum nr 1), ul. Powstańców Warszawy 8B, C, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;322;310;46;15;94
13;"Szkoła Podstawowa Nr 3 (budynek byłego Publicznego Gimnazjum nr 1), ul. Powstańców Warszawy 8B, C, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;536;213;43;9;116
14;"Świetlica Wiejska, Stolec 93, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;232;205;37;4;34
15;"Świetlica Wiejska, Zwrócona 20, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;236;149;40;10;38
16;"Budynek Wielofunkcyjny, Braszowice 61A, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;306;262;29;8;59
17;"Remiza Strażacka, Tarnów 29A, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;309;206;38;6;38
18;"Świetlica Wiejska, Brodziszów 28, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;152;89;26;4;29
19;"Świetlica Wiejska, Sulisławice 12, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;133;171;21;5;21
20;"Świetlica Wiejska, Bobolice 23, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;148;172;21;3;36
21;"Dom Pomocy Społecznej, ul. Szpitalna 3, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;14;18;3;3;6
22;"Szpital św. Antoniego w Ząbkowicach Śląskich, ul. Bolesława Chrobrego 5, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;2;1;0;0;0
23;"Dom Pomocy Społecznej dla osób przewlekle psychicznie chorych w Ząbkowicach Śląskich, ul. Szpitalna 3, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;2;2;0;0;0
1;"Przedszkole Na Orlej Polanie, ul. Adama Mickiewicza 18, 57-220 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;207;202;43;13;85
2;"Stadion Miejski w Ziębicach, ul. Sportowa 4, 57-220 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;203;226;54;15;89
3;"Urząd Miejski w Ziębicach, ul. Przemysłowa 10, 57-220 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;200;197;39;10;70
4;"Ziębickie Centrum Kultury, ul. Wojska Polskiego 10, 57-220 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;156;198;34;15;73
5;"Miejsko-Gminny Ośrodek Pomocy Społecznej, ul. Wałowa 65, 57-220 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;155;175;45;12;60
6;"Centrum Informacji Turystycznej i Kulturalnej, ul. Grunwaldzka 1, 57-220 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;303;269;67;26;115
7;"Przedszkole Miejskie Nr 1 w Ziębicach, ul. Klasztorna 6, 57-220 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;118;133;22;10;60
8;"Świetlica Wiejska w Rososznicy, Rososznica 49a, 57-224 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;53;66;8;2;18
9;"Świetlica Wiejska w Biernacicach, Biernacice 29, 57-220 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;120;77;21;6;22
10;"Świetlica Wiejska w Nowym Dworze, Nowy Dwór 40, 57-210 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;24;89;13;4;12
11;"Przedszkole Publiczne w Henrykowie Oddział w Wadochowicach, Wadochowice 27, 57-210 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;111;138;19;4;35
12;"Niepubliczna Szkoła Podstawowa w Lubnowie, Lubnów 42, 57-223 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;82;122;21;4;35
13;"Świetlica Wiejska w Niedźwiedziu, Niedźwiedź 93c, 57-222 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;82;132;22;7;34
14;"Świetlica Wiejska w Starczówku, Starczówek 39, 57-222 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;69;128;18;5;16
15;"Świetlica Wiejska w Pomianowie Dolnym, Pomianów Dolny 81A, 57-223 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;74;138;9;9;40
16;"Świetlica Wiejska w Czerńczycach, Czerńczyce 28c, 57-221 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;55;66;8;1;18
17;"Ochotnicza Straż Pożarna w Henrykowie, ul. Słoneczna 7, 57-210 Henryków";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;208;222;41;17;98
18;"Świetlica Wiejska w Wigańcicach, Wigańcice 62a, 57-220 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;112;144;24;11;34
19;"Świetlica Wiejska w Dębowcu, Dębowiec 26B, 57-220 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;97;92;16;3;22
20;"Świetlica Wiejska w Niedźwiedniku, Niedźwiednik 66, 57-224 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;96;79;9;3;25
21;"Świetlica Wiejska w Krzelkowie, Krzelków 16, 57-210 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;79;129;15;10;24
22;"Świetlica Wiejska w Bożnowicach, Bożnowice 41a, 57-210 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;59;92;11;3;19
23;"Dom Pomocy Społecznej w Ziębicach, ul. Kościelna 10-12, 57-220 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;10;24;1;1;5
24;"Dom Opieki Św. Jadwigi Śląskiej Caritas Archidiecezji Wrocławskiej w Henrykowie, pl. Plac Cystersów 4D, 57-210 Henryków";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;5;6;2;0;2
25;"PHM Sp. z o. o. Oddział Terenowy Ziębice, ul. Kolejowa 29, 57-220 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;10;19;1;2;4
26;"Dom Pomocy Społecznej „Złota Jesień”, ul. Wałowa 44B, 57-220 Ziębice";22406;"gm. Ziębice";"ząbkowicki";"dolnośląskie";1;1;6;10;1;0;3
1;"Szkoła Podstawowa, ul. Chemików 8, 57-250 Złoty Stok";22407;"gm. Złoty Stok";"ząbkowicki";"dolnośląskie";1;1;157;154;29;8;62
2;"Szkoła Podstawowa, ul. Chemików 8, 57-250 Złoty Stok";22407;"gm. Złoty Stok";"ząbkowicki";"dolnośląskie";1;1;177;154;21;1;52
3;"Szkoła Podstawowa, ul. Chemików 8, 57-250 Złoty Stok";22407;"gm. Złoty Stok";"ząbkowicki";"dolnośląskie";1;1;226;156;32;12;64
4;"Świetlica Wiejska, Płonica 28, 57-250 Złoty Stok";22407;"gm. Złoty Stok";"ząbkowicki";"dolnośląskie";1;1;46;68;15;3;27
5;"Świetlica Wiejska, Mąkolno 48a, 57-250 Złoty Stok";22407;"gm. Złoty Stok";"ząbkowicki";"dolnośląskie";1;1;98;104;20;2;19
6;"Świetlica Wiejska, Chwalisław 50, 57-250 Złoty Stok";22407;"gm. Złoty Stok";"ząbkowicki";"dolnośląskie";1;1;35;39;8;5;17
7;"Świetlica Wiejska, Laski 126, 57-251 Złoty Stok";22407;"gm. Złoty Stok";"ząbkowicki";"dolnośląskie";1;1;99;119;20;11;28
